OBJECTID,SITE_NAME,GAZ_NAME,GFE_ID,Y_LAT,X_LONG,GFE_TYPE,WS_CDE_20K,WS_CDE_50K,CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,POP_ID,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO
18,NAZKO RIVER,NAZKO RIVER,2456,53.12683553,-123.5668614,Stream,100-500560-326229-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,170-324300-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,44762,MFR,GStr,MFR+GStr
19,SHOVEL CREEK,SHOVEL CREEK,300,54.1389693,-125.2902844,Stream,100-567134-374775-948201-023010-367618-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-374000-95200-01900-4090-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,45520,MFR,GStr,MFR+GStr
20,STEIN RIVER,STEIN RIVER,126,50.28839911,-121.629278,Stream,100-195373-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-197200-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47175,MFR,GStr,MFR+GStr
21,SWIFT RIVER,SWIFT RIVER,142,53.01562103,-122.1155448,Stream,100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-481100-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,2483,MFR,GStr,MFR+GStr
22,SWIFT RIVER,SWIFT RIVER,142,53.01562103,-122.1155448,Stream,100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-481100-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47278,MFR,GStr,MFR+GStr
23,SWIFT RIVER,SWIFT RIVER,142,53.01562103,-122.1155448,Stream,100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-481100-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47277,MFR,GStr,MFR+GStr
24,TASEKO LAKES,TASEKO LAKES,287,51.34893023,-123.619087,Lake,100-342455-328500-134035-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-335700-13400-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,46861,MFR,GStr,MFR+GStr
25,WEST ROAD (BLACKWATER) RIVER,WEST ROAD (BLACKWATER) RIVER,294,53.31075482,-122.8757942,Stream,100-500560-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,170-000000-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,45991,MFR,GStr,MFR+GStr
26,YALAKOM RIVER,YALAKOM RIVER,134,50.86356005,-122.1725018,Stream,100-239855-151124-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-241900-16600-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47234,MFR,GStr,MFR+GStr
27,CARIBOO RIVER,CARIBOO RIVER,290,52.66253574,-121.6758417,Stream,100-458399-466616-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-466100-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,46891,MFR,GStr,MFR+GStr
28,CHILKO RIVER,CHILKO RIVER,286,52.09604998,-123.4608193,Stream,100-342455-328500-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-335700-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,46851,MFR,GStr,MFR+GStr
29,ELKIN CREEK,ELKIN CREEK,288,51.68586278,-123.7218641,Stream,100-342455-328500-134035-287985-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-335700-13400-28700-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,46871,MFR,GStr,MFR+GStr
30,KAZCHEK CREEK,KAZCHEK CREEK,316,54.88509993,-125.1705588,Stream,100-567134-179319-815989-532920-067591-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,182-819600-63300-04800-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,45567,MFR,GStr,MFR+GStr
31,KUZKWA RIVER,KUZKWA RIVER,312,54.7883416,-124.8784794,Stream,100-567134-179319-815989-290384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,182-819600-32400-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,45555,MFR,GStr,MFR+GStr
32,KUZKWA RIVER,KUZKWA RIVER,312,54.7883416,-124.8784794,Stream,100-567134-179319-815989-290384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,182-819600-32400-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,1416,MFR,GStr,MFR+GStr
33,MIDDLE RIVER,MIDDLE RIVER,2485,54.86647561,-125.1193052,Stream,100-567134-179319-815989-532920-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,182-819600-63300-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,44564,MFR,GStr,MFR+GStr
34,MITCHELL RIVER,MITCHELL RIVER,293,52.77836565,-120.80405,Stream,100-458399-740856-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-738500-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,1756,MFR,GStr,MFR+GStr
35,NECHAKO RIVER,NECHAKO RIVER,295,53.91740699,-122.7149218,Stream,100-567134-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-000000-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,46001,MFR,GStr,MFR+GStr
36,ORMOND CREEK,ORMOND CREEK,298,54.08843558,-124.7478927,Stream,100-567134-374775-507094-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-374000-51000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,46024,MFR,GStr,MFR+GStr
37,PINCHI CREEK,PINCHI CREEK,308,54.56348059,-124.4889502,Stream,100-567134-179319-710832-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,182-697600-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,45547,MFR,GStr,MFR+GStr
38,QUESNEL RIVER,QUESNEL RIVER,289,52.97064226,-122.4980039,Stream,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,46881,MFR,GStr,MFR+GStr
39,SETON AND CAYOOSH CREEKS,,7990579,50.6687268,-121.9726099,Stream,100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,47199,MFR,GStr,MFR+GStr
40,SETON RIVER,SETON RIVER,2476,50.68089255,-121.9287009,Stream,100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,2178,MFR,GStr,MFR+GStr
41,STELLAKO RIVER,STELLAKO RIVER,297,54.05609747,-124.885053,Stream,100-567134-374775-948201-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-374000-95200-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,46021,MFR,GStr,MFR+GStr
42,STUART RIVER,STUART RIVER,305,53.9883355,-123.5413751,Stream,100-567134-179319-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,182-000000-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,45535,MFR,GStr,MFR+GStr
43,TACHIE RIVER,TACHIE RIVER,309,54.65906088,-124.7698341,Stream,100-567134-179319-815989-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,182-819600-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,45550,MFR,GStr,MFR+GStr
44,TASEKO RIVER,TASEKO RIVER,2636,52.00723728,-123.6777195,Stream,100-342455-328500-134035-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-335700-13400-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SU_1.3,CK-11,CK,Current,2507,MFR,GStr,MFR+GStr
45,ANTLER CREEK,ANTLER CREEK,160,53.2686981,-121.4512554,Stream,100-654493-746761-070913-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-657000-76900-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47457,UFR,GStr,UFR+GStr
46,BAD RIVER (JAMES CREEK),BAD RIVER (JAMES CREEK),154,54.29609714,-121.4422499,Stream,100-639480-270767-043982-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,190-265100-03900-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47397,UFR,GStr,UFR+GStr
47,BOWRON RIVER,BOWRON RIVER,157,54.05842395,-121.8264988,Stream,100-654493-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-657000-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47427,UFR,GStr,UFR+GStr
48,CAPTAIN CREEK,CAPTAIN CREEK,153,54.28206312,-121.4565424,Stream,100-639480-270767-022412-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,190-265100-01800-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47387,UFR,GStr,UFR+GStr
49,DOME CREEK,DOME CREEK,163,53.7548563,-121.0226756,Stream,100-735802-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-738400-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47487,UFR,GStr,UFR+GStr
50,DRISCOLL CREEK,DRISCOLL CREEK,2713,53.86635192,-121.4306428,Stream,100-696400-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-698700-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,125,UFR,GStr,UFR+GStr
51,EAST TWIN CREEK,EAST TWIN CREEK,170,53.45716956,-120.410232,Stream,100-805395-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-807600-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,926,UFR,GStr,UFR+GStr
52,FONTONIKO CREEK,FONTONIKO CREEK,155,54.36307609,-121.3461302,Stream,100-639480-270767-174191-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,190-265100-16700-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47407,UFR,GStr,UFR+GStr
53,FORGETMENOT CREEK,FORGETMENOT CREEK,2366,53.68778182,-120.4363387,Stream,100-772352-308489-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-774700-31100-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,44961,UFR,GStr,UFR+GStr
54,FRASER RIVER - ABOVE TETE JAUNE,FRASER RIVER,2477,52.97355516,-119.4298073,Stream Segment,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,44549,UFR,GStr,UFR+GStr
55,GOAT RIVER,GOAT RIVER,169,53.53268065,-120.5597127,Stream,100-790283-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-792600-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47538,UFR,GStr,UFR+GStr
56,HAGGEN CREEK,HAGGEN CREEK,158,53.57652694,-121.6281092,Stream,100-654493-532663-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-657000-54000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47437,UFR,GStr,UFR+GStr
57,HERRICK CREEK,HERRICK CREEK,152,54.26984326,-121.4808982,Stream,100-639480-270767-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,190-265100-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47377,UFR,GStr,UFR+GStr
58,HOLLIDAY CREEK,HOLLIDAY CREEK,2034,53.16353609,-119.9201603,Stream,100-862175-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-864700-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,1207,UFR,GStr,UFR+GStr
59,HOLMES RIVER,HOLMES RIVER,173,53.25291676,-120.0703439,Stream,100-845489-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-848200-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,46931,UFR,GStr,UFR+GStr
60,HORSEY CREEK,HORSEY CREEK,175,53.096641,-119.7289439,Stream,100-879803-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-882300-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,46951,UFR,GStr,UFR+GStr
61,HUMBUG CREEK,HUMBUG CREEK,1992,53.75739285,-120.9038831,Stream,100-745929-024043-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-748500-03700-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,1269,UFR,GStr,UFR+GStr
62,ICE CREEK,,2460,54.3221303,-121.1650076,Stream,100-639480-270767-308653-085322-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,190-265100-30600-08200-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,3075,UFR,GStr,UFR+GStr
63,INDIANPOINT CREEK,INDIANPOINT CREEK,159,53.44499384,-121.5683218,Stream,100-654493-625451-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-657000-63200-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47447,UFR,GStr,UFR+GStr
64,KENNETH CREEK,KENNETH CREEK,161,53.92201243,-121.6629742,Stream,100-681581-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-683800-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47467,UFR,GStr,UFR+GStr
65,MCGREGOR RIVER,MCGREGOR RIVER,149,54.17979354,-122.0339986,Stream,100-639480-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,190-000000-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47347,UFR,GStr,UFR+GStr
66,MCKALE RIVER,MCKALE RIVER,172,53.39773873,-120.3425043,Stream,100-820527-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-822300-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47548,UFR,GStr,UFR+GStr
67,MORKILL RIVER,MORKILL RIVER,168,53.61244394,-120.7040434,Stream,100-772352-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-774700-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47528,UFR,GStr,UFR+GStr
68,NEVIN CREEK,NEVIN CREEK,174,53.19465648,-119.9783384,Stream,100-855764-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-858300-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,46941,UFR,GStr,UFR+GStr
69,OTTER CREEK,OTTER CREEK,151,54.27795152,-121.5187256,Stream,100-639480-255287-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,190-250000-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47367,UFR,GStr,UFR+GStr
70,PTARMIGAN CREEK,PTARMIGAN CREEK,166,53.70369743,-120.8911173,Stream,100-748616-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-751200-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47517,UFR,GStr,UFR+GStr
71,ROBSON RIVER,ROBSON RIVER,2041,53.02720871,-119.2582373,Stream,100-918593-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-920700-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,2076,UFR,GStr,UFR+GStr
72,SALMON RIVER,SALMON RIVER,146,54.0669704,-122.5598206,Stream,100-591289-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-593800-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47317,MFR,GStr,MFR+GStr
73,SEEBACH CREEK,SEEBACH CREEK,150,54.23922055,-121.8579609,Stream,100-639480-088242-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,190-084500-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47357,UFR,GStr,UFR+GStr
74,SLIM CREEK,SLIM CREEK,162,53.79833651,-121.1949476,Stream,100-717163-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-719700-00000-00000-0000-0000-000-000-000-000-000-000,UPPER FRASER RIVER_SP_1.3,CK-12,CK,Current,47477,UFR,GStr,UFR+GStr
