RAMS_ID,LF_ID,Spatial_Exposure,Temporal_Exposure,Exposure_Score,Impact,Risk_Score,Current_Trend,Future_Trend,Confidence,Proof,Notes
TEST1,78,1,2,,3,,4,5,1,1,
TEST1,79,2,3,,4,,5,1,2,2,
TEST1,80,3,4,,5,,1,2,3,3,
TEST1,81,4,5,,1,,2,3,1,4,
TEST1,82,5,1,,2,,3,4,2,5,
TEST1,83,1,2,,3,,4,5,3,1,
TEST1,84,2,3,,4,,5,1,1,2,
TEST1,85,3,4,,5,,1,2,2,3,
TEST1,86,4,5,,1,,2,3,3,4,
TEST1,87,5,1,,2,,3,4,1,5,
TEST1,88,1,2,,3,,4,5,2,1,
TEST1,89,2,3,,4,,5,1,3,2,
TEST1,90,3,4,,5,,1,2,1,3,
TEST1,91,4,5,,1,,2,3,2,4,
TEST1,92,5,1,,2,,3,4,3,5,
TEST1,93,1,2,,3,,4,5,1,1,
TEST1,94,2,3,,4,,5,1,2,2,
TEST1,95,3,4,,5,,1,2,3,3,
TEST1,96,4,5,,1,,2,3,1,4,
TEST1,97,5,1,,2,,3,4,2,5,
TEST1,98,1,2,,3,,4,5,3,1,
TEST1,99,2,3,,4,,5,1,1,2,
TEST1,100,3,4,,5,,1,2,2,3,
TEST1,101,4,5,,1,,2,3,3,4,
TEST1,102,5,1,,2,,3,4,1,5,
TEST1,103,1,2,,3,,4,5,2,1,
TEST1,104,2,3,,4,,5,1,3,2,
TEST1,105,3,4,,5,,1,2,1,3,
TEST1,106,4,5,,1,,2,3,2,4,
TEST1,107,5,1,,2,,3,4,3,5,
TEST1,108,1,2,,3,,4,5,1,1,
TEST1,109,2,3,,4,,5,1,2,2,
TEST1,110,3,4,,5,,1,2,3,3,
TEST1,111,4,5,,1,,2,3,1,4,
TEST1,112,5,1,,2,,3,4,2,5,
TEST1,113,1,2,,3,,4,5,3,1,
TEST1,114,2,3,,4,,5,1,1,2,
TEST1,115,3,4,,5,,1,2,2,3,
TEST1,116,4,5,,1,,2,3,3,4,
TEST1,117,5,1,,2,,3,4,1,5,
TEST1,118,1,2,,3,,4,5,2,1,
TEST2,1,1,2,,3,,4,5,1,1,This is an example note.
TEST2,2,2,3,,4,,5,1,2,2,This is another example note.
TEST2,3,3,4,,5,,1,2,3,3,"A third example note. 
With a paragraph (hopefully)"
TEST2,4,4,5,,1,,2,3,1,4,
TEST2,5,5,1,,2,,3,4,2,5,
TEST2,6,1,2,,3,,4,5,3,1,
TEST2,7,2,3,,4,,5,1,1,2,
TEST2,8,3,4,,5,,1,2,2,3,
TEST2,9,4,5,,1,,2,3,3,4,
TEST2,10,5,1,,2,,3,4,1,5,
TEST2,11,1,2,,3,,4,5,2,1,
TEST2,12,2,3,,4,,5,1,3,2,
TEST2,13,3,4,,5,,1,2,1,3,
TEST2,14,4,5,,1,,2,3,2,4,
TEST2,15,5,1,,2,,3,4,3,5,
TEST2,16,1,2,,3,,4,5,1,1,
TEST2,17,2,3,,4,,5,1,2,2,
TEST2,18,3,4,,5,,1,2,3,3,
TEST2,19,4,5,,1,,2,3,1,4,
TEST2,20,5,1,,2,,3,4,2,5,
TEST2,21,1,2,,3,,4,5,3,1,
TEST2,22,2,3,,4,,5,1,1,2,
TEST2,23,3,4,,5,,1,2,2,3,
TEST2,24,4,5,,1,,2,3,3,4,
TEST2,25,5,1,,2,,3,4,1,5,
TEST2,26,1,2,,3,,4,5,2,1,
TEST2,27,2,3,,4,,5,1,3,2,
TEST2,28,3,4,,5,,1,2,1,3,
TEST2,29,4,5,,1,,2,3,2,4,
TEST2,30,5,1,,2,,3,4,3,5,
TEST2,31,1,2,,3,,4,5,1,1,
TEST2,32,2,3,,4,,5,1,2,2,
TEST2,33,3,4,,5,,1,2,3,3,
TEST2,34,4,5,,1,,2,3,1,4,
TEST2,37,5,1,,2,,3,4,2,5,
TEST2,38,1,2,,3,,4,5,3,1,
TEST2,39,2,3,,4,,5,1,1,2,
TEST2,40,3,4,,5,,1,2,2,3,
TEST2,41,4,5,,1,,2,3,3,4,
TEST2,42,5,1,,2,,3,4,1,5,
TEST2,43,1,2,,3,,4,5,2,1,
TEST2,44,2,3,,4,,5,1,3,2,
TEST2,45,3,4,,5,,1,2,1,3,
TEST2,46,4,5,,1,,2,3,2,4,
TEST2,47,5,1,,2,,3,4,3,5,
TEST2,48,1,2,,3,,4,5,1,1,
TEST2,49,2,3,,4,,5,1,2,2,
TEST2,50,3,4,,5,,1,2,3,3,
TEST2,51,4,5,,1,,2,3,1,4,
TEST2,52,5,1,,2,,3,4,2,5,
TEST2,53,1,2,,3,,4,5,3,1,
TEST2,54,2,3,,4,,5,1,1,2,
TEST2,55,3,4,,5,,1,2,2,3,
TEST2,56,4,5,,1,,2,3,3,4,
TEST2,57,5,1,,2,,3,4,1,5,
TEST2,58,1,2,,3,,4,5,2,1,
TEST2,59,2,3,,4,,5,1,3,2,
TEST2,60,3,4,,5,,1,2,1,3,
TEST2,61,4,5,,1,,2,3,2,4,
TEST2,62,5,1,,2,,3,4,3,5,
TEST2,63,1,2,,3,,4,5,1,1,
TEST2,64,2,3,,4,,5,1,2,2,
TEST2,65,3,4,,5,,1,2,3,3,
TEST2,66,4,5,,1,,2,3,1,4,
TEST2,67,5,1,,2,,3,4,2,5,
TEST2,68,1,2,,3,,4,5,3,1,
TEST2,69,2,3,,4,,5,1,1,2,
TEST2,70,3,4,,5,,1,2,2,3,
TEST2,71,4,5,,1,,2,3,3,4,
TEST2,72,5,1,,2,,3,4,1,5,
TEST2,73,1,2,,3,,4,5,2,1,
TEST2,74,2,3,,4,,5,1,3,2,
TEST2,75,3,4,,5,,1,2,1,3,
TEST2,76,4,5,,1,,2,3,2,4,
TEST2,77,5,1,,2,,3,4,3,5,
TEST2,78,1,2,,3,,4,5,1,1,
TEST2,79,2,3,,4,,5,1,2,2,
TEST2,80,3,4,,5,,1,2,3,3,
TEST2,81,4,5,,1,,2,3,1,4,
TEST2,82,5,1,,2,,3,4,2,5,
TEST2,83,1,2,,3,,4,5,3,1,
TEST2,84,2,3,,4,,5,1,1,2,
TEST2,85,3,4,,5,,1,2,2,3,
TEST2,86,4,5,,1,,2,3,3,4,
TEST2,87,5,1,,2,,3,4,1,5,
TEST2,88,1,2,,3,,4,5,2,1,
TEST2,89,2,3,,4,,5,1,3,2,
TEST2,90,3,4,,5,,1,2,1,3,
TEST2,91,4,5,,1,,2,3,2,4,
TEST2,92,5,1,,2,,3,4,3,5,
TEST2,93,1,2,,3,,4,5,1,1,
TEST2,94,2,3,,4,,5,1,2,2,
TEST2,95,3,4,,5,,1,2,3,3,
TEST2,96,4,5,,1,,2,3,1,4,
TEST2,97,5,1,,2,,3,4,2,5,
TEST2,98,1,2,,3,,4,5,3,1,
TEST2,99,2,3,,4,,5,1,1,2,
TEST2,100,3,4,,5,,1,2,2,3,
TEST2,101,4,5,,1,,2,3,3,4,
TEST2,102,5,1,,2,,3,4,1,5,
TEST2,103,1,2,,3,,4,5,2,1,
TEST2,104,2,3,,4,,5,1,3,2,
TEST2,105,3,4,,5,,1,2,1,3,
TEST2,106,4,5,,1,,2,3,2,4,
TEST2,107,5,1,,2,,3,4,3,5,
TEST2,108,1,2,,3,,4,5,1,1,
TEST2,109,2,3,,4,,5,1,2,2,
TEST2,110,3,4,,5,,1,2,3,3,
TEST2,111,4,5,,1,,2,3,1,4,
TEST2,112,5,1,,2,,3,4,2,5,
TEST2,113,1,2,,3,,4,5,3,1,
TEST2,114,2,3,,4,,5,1,1,2,
TEST2,115,3,4,,5,,1,2,2,3,
TEST2,116,4,5,,1,,2,3,3,4,
TEST2,117,5,1,,2,,3,4,1,5,
TEST2,118,1,2,,3,,4,5,2,1,
